karmn,Name,RAJ2000,DEJ2000,Teff,e_Teff,E_Teff,logg,e_logg,E_logg,[M/H],e_[M/H],E_[M/H],vsini,e_vsini,E_vsini
J12054+695,Ross 689,181.3678591224,69.53936644394,3359,30,32,4.89,0.06,0.02,0.08,0.16,0.02,2.2,0.24,0.27
J12100-150,LP 734-032,182.52307872638,-15.07454682533,3382,22,40,4.85,0.06,0.03,0.11,0.13,0.02,1.62,0.1,0.59
J12111-199,LTT 4562,182.79799193877,-19.96139412325,3481,36,18,4.81,0.03,0.06,-0.1,0.11,0.05,2.39,0.2,0.25
J12123+544S,HD 238090,183.08869317809,54.48616586319,4098,53,52,4.68,0.04,0.02,-0.09,0.09,0.1,2.49,0.93,0.07
J12156+526,StKM 2-809,183.91478803765,52.65242623924,3302,103,97,5.01,0.15,0.08,-0.09,0.28,0.25,34.31,1.82,3.24
J12230+640,Ross 690,185.74383616312,64.03248298122,3746,43,19,4.7,0.03,0.02,0.02,0.07,0.05,3.17,0.25,0.32
J12248-182,Ross 695,186.22388950027,-18.25255602338,3677,46,15,4.79,0.04,0.07,-0.33,0.18,0.06,2.12,0.23,0.24
J12312+086,BD+09 2636,187.81299297535,8.8082808209,4008,59,41,4.67,0.04,0.02,0.01,0.09,0.06,2.63,0.3,0.41
J12350+098,GJ 476,188.75091289032,9.82707156235,3836,44,32,4.71,0.04,0.03,-0.17,0.06,0.14,1.47,0.07,0.28
J12388+116,Wolf 433,189.71325870875,11.69503594754,3523,35,27,4.78,0.04,0.05,0.06,0.07,0.04,2.47,0.15,0.25
J12428+418,G 123-055,190.70457462087,41.89660906888,3281,15,39,4.91,0.04,0.08,0.04,0.34,0.06,5.56,0.34,0.21
J12479+097,Wolf 437,191.98138882517,9.74935423088,3405,27,41,4.85,0.03,0.05,0.03,0.17,0.02,1.55,0.06,0.59
J13005+056,FN Vir,195.13547450286,5.68656685418,3087,22,33,4.91,0.05,0.04,0.07,0.15,0.08,18.65,0.53,0.41
J13196+333,Ross 1007,199.91560228235,33.34589602599,3780,26,50,4.69,0.03,0.03,0.16,0.05,0.06,2.8,0.12,0.53
J13209+342,BD+35 2439,200.24446675766,34.27762309069,3918,64,25,4.68,0.04,0.03,-0.03,0.09,0.09,2.31,0.55,0.37
J13229+244,Ross 1020,200.73344179223,24.46382240882,3473,35,23,4.81,0.02,0.08,-0.05,0.14,0.04,2.31,0.19,0.3
J13283-023W,Ross 486A,202.08850669038,-2.3625012356,3546,41,17,4.75,0.03,0.07,0.02,0.09,0.03,2.25,0.15,0.28
J13293+114,GJ 513,202.340288785,11.43544404212,3693,44,27,4.71,0.03,0.03,0.05,0.07,0.07,1.47,0.06,0.4
J13299+102,BD+11 2576,202.50420163284,10.37238957413,3816,47,29,4.7,0.04,0.03,-0.09,0.06,0.1,2.69,0.17,0.39
J13427+332,Ross1015,205.67969336228,33.28692386555,3351,31,23,4.9,0.05,0.02,-0.03,0.15,0.03,2.27,0.28,0.23
J13450+176,BD+18 2776,206.27327486352,17.77728797145,4100,44,69,4.74,0.09,0.04,-0.53,0.27,0.09,1.48,0.18,0.1
J13457+148,HD 119850,206.44056584486,14.8850527046,3950,59,34,4.7,0.05,0.04,-0.31,0.06,0.15,1.48,0.08,0.33
J13458-179,LP 798-034,206.45987655622,-17.97068075089,3389,26,35,4.89,0.06,0.02,0.02,0.16,0.02,2.09,0.19,0.31
J13536+776,RX J1353.6+7737,208.41629245213,77.61886343809,3203,17,23,4.94,0.06,0.03,-0.16,0.12,0.06,13.02,0.55,0.14
J13582+125,Ross 837,209.55650642406,12.58206347744,3347,35,22,4.93,0.06,0.02,-0.22,0.08,0.07,3.14,0.21,0.25
J14010-026,HD 122303,210.25961163219,-2.65220691841,3872,59,26,4.69,0.04,0.03,-0.12,0.07,0.12,2.63,0.34,0.33
J14082+805,BD+81 465,212.05986313267,80.59485932688,4020,56,59,4.67,0.05,0.02,0.05,0.1,0.09,1.57,0.07,0.87
J14152+450,Ross 992,213.81650967848,45.01380459039,3630,40,19,4.73,0.03,0.05,-0.03,0.1,0.06,2.13,0.26,0.27
J14173+454,RX J1417.3+4525,214.34237220585,45.42936021377,3106,26,18,4.91,0.03,0.07,0.09,0.2,0.05,20.4,0.54,0.4
J14251+518,tet Boo B,216.29652899703,51.82962179088,3542,42,19,4.77,0.02,0.08,-0.07,0.12,0.05,2.33,0.19,0.23
J14257+236E,BD+24 2733B,216.44823322587,23.61550181514,4010,51,51,4.67,0.03,0.04,0.17,0.17,0.06,2.38,0.37,0.45
J14257+236W,BD+24 2733A,216.43498979113,23.61211888242,4094,55,55,4.67,0.04,0.04,0.18,0.24,0.06,2.42,0.4,0.41
J14294+155,Ross 130,217.36887348196,15.53841403834,3745,35,32,4.7,0.03,0.02,0.01,0.06,0.06,2.5,0.13,0.48
J14307-086,BD-07 3856,217.69310643288,-8.64739066538,4213,79,35,4.67,0.04,0.03,0.07,0.15,0.11,2.59,0.7,0.23
J14310-122,Wolf 1478,217.75297968151,-12.2978696795,3377,19,35,4.87,0.06,0.02,0.01,0.13,0.03,2.04,0.29,0.28
J14342-125,HN Lib,218.56843175697,-12.51692385359,3328,26,32,4.88,0.07,0.02,0.11,0.15,0.02,2.0,0.39,0.3
J14524+123,G 066-037,223.11861568045,12.39143178497,3636,10,51,4.7,0.01,0.04,0.1,0.03,0.06,3.27,0.1,0.41
J14544+355,Ross 1041,223.61709656629,35.54542849536,3437,25,37,4.87,0.07,0.02,0.02,0.14,0.03,2.27,0.15,0.28
J15013+055,G 015-002,225.33415504486,5.54679427266,3404,18,32,4.87,0.07,0.02,-0.13,0.06,0.08,2.79,0.22,0.25
J15095+031,Ross 1047,227.39562087412,3.16895907316,3567,40,17,4.75,0.03,0.07,-0.02,0.11,0.05,2.27,0.16,0.28
J15194-077,HO Lib,229.85630133329,-7.72270702416,3416,24,29,4.83,0.02,0.07,-0.15,0.09,0.07,2.43,0.28,0.22
J15218+209,OT Ser,230.47094024403,20.97832225751,3630,45,24,4.71,0.02,0.07,0.18,0.07,0.05,9.32,0.53,0.22
J15369-141,Ross 802,234.24220802863,-14.13661715335,3356,22,34,4.88,0.07,0.02,0.07,0.15,0.02,1.95,0.41,0.32
J15474-108,LP 743-031,236.85089113598,-10.89810964978,3547,18,56,4.88,0.05,0.06,-0.21,0.1,0.12,4.52,0.29,0.32
J15499+796,LP 022-420,237.47429032556,79.664882103,3049,21,38,4.89,0.04,0.05,0.23,0.07,0.06,30.11,0.43,0.98
J15598-082,BD-07 4156,239.9733328172,-8.25331951875,3689,18,51,4.71,0.04,0.02,-0.0,0.07,0.05,3.43,0.17,0.33
J16028+205,GJ 609,240.70770535248,20.58365404358,3334,27,28,4.92,0.06,0.02,0.05,0.19,0.01,2.11,0.32,0.27
J16092+093,G 137-084,242.3162349409,9.35306799513,3443,8,47,4.86,0.07,0.02,-0.14,0.04,0.1,3.12,0.19,0.22
J16167+672N,EW Dra,244.18325773775,67.2566406263,3560,41,15,4.76,0.03,0.05,0.03,0.05,0.05,2.76,0.13,0.26
J16167+672S,HD 147379,244.17238993246,67.23921576834,4174,62,50,4.66,0.04,0.04,0.17,0.25,0.07,2.87,0.61,0.23
J16254+543,GJ 625,246.35588833282,54.3033386656,3591,49,11,4.83,0.03,0.06,-0.33,0.15,0.05,2.75,0.22,0.23
J16303-126,V2306 Oph,247.57481416249,-12.66785108081,3381,25,31,4.87,0.05,0.03,-0.03,0.14,0.03,2.13,0.24,0.28
J16327+126,GJ 1203,248.18481430361,12.61217177904,3703,37,32,4.72,0.03,0.05,-0.18,0.08,0.1,1.5,0.04,0.33
J16462+164,LP 446-006,251.55561620944,16.47589944353,3559,41,15,4.75,0.03,0.07,-0.04,0.11,0.05,2.37,0.15,0.24
J16554-083N,GJ 643,253.85142032581,-8.32657626384,3334,31,20,4.92,0.04,0.03,-0.13,0.11,0.08,2.49,0.32,0.17
J16570-043,LP 686-027,254.27604768746,-4.35064932356,3180,13,22,4.93,0.04,0.04,-0.2,0.08,0.06,14.04,0.56,0.15
J16581+257,BD+25 3173,254.53630439636,25.74190129543,3791,29,54,4.7,0.04,0.01,0.01,0.05,0.06,3.26,0.16,0.49
J17033+514,G 203-042,255.85040248888,51.40906417008,3193,13,38,4.98,0.08,0.04,0.05,0.11,0.1,2.11,0.46,0.18
J17052-050,Wolf 636,256.3033222372,-5.09926700748,3909,59,27,4.71,0.04,0.04,-0.28,0.06,0.14,1.47,0.09,0.23
J17071+215,Ross 863,256.77899349987,21.55390609373,3515,36,20,4.78,0.02,0.07,-0.04,0.12,0.04,2.31,0.18,0.23
J17115+384,Wolf 654,257.89598966788,38.44254560682,3463,27,30,4.79,0.02,0.07,-0.0,0.14,0.03,2.0,0.24,0.3
J17166+080,GJ 2128,259.16950281593,8.05809130171,3598,42,17,4.75,0.03,0.07,-0.13,0.1,0.07,2.33,0.23,0.19
J17198+417,GJ 671,259.9713259724,41.71011698031,3564,43,18,4.78,0.03,0.08,-0.17,0.1,0.07,2.38,0.19,0.24
J17303+055,BD+05 3409,262.59483404602,5.54741009931,3941,60,35,4.68,0.04,0.03,-0.11,0.07,0.11,2.45,0.44,0.36
J17355+616,BD+61 1678C,263.896114509,61.67927672424,3891,38,61,4.68,0.02,0.04,0.14,0.09,0.04,3.07,0.22,0.42
J17364+683,BD+68 946 AB,264.1040525732,68.33349763759,3612,37,25,4.73,0.03,0.06,-0.04,0.11,0.07,2.02,0.29,0.28
J17378+185,BD+18 3421,264.47662365178,18.59608765435,3753,41,25,4.77,0.07,0.02,-0.33,0.08,0.11,2.13,0.2,0.24
J17542+073,GJ 1222,268.5686657879,7.37783232728,3390,26,39,4.87,0.06,0.02,0.09,0.13,0.03,2.06,0.19,0.32
J17578+046,Barnards Star,,,3353,33,24,4.96,0.06,0.03,-0.22,0.06,0.1,3.08,0.24,0.21
J17578+465,G 204-039,269.46226112887,46.59121608783,3444,12,38,4.84,0.06,0.02,-0.01,0.09,0.03,2.79,0.12,0.21
J18027+375,GJ 1223,270.69372437929,37.51241783764,3171,29,29,5.01,0.07,0.06,0.05,0.15,0.14,1.6,0.08,0.67
J18051-030,HD 165222,271.2841138366,-3.03279800184,3746,42,20,4.72,0.04,0.05,-0.2,0.05,0.1,2.72,0.19,0.32
J18165+048,G 140-051,274.1307229211,4.88119323582,3183,24,27,4.99,0.08,0.04,0.06,0.14,0.11,2.03,0.24,0.33
J18174+483,TYC 3529-1437-1,274.35438468965,48.36752952248,3564,30,29,4.74,0.03,0.06,0.1,0.05,0.03,6.06,0.48,0.13
J18180+387E,G 204-058,274.51553741438,38.77115776696,3493,43,13,4.83,0.03,0.07,-0.21,0.13,0.05,2.26,0.24,0.26
J18189+661,LP 071-165,274.74325647947,66.19061665488,3087,15,27,4.9,0.03,0.05,-0.03,0.05,0.12,17.87,0.39,0.35
J18198-019,HD 168442,274.96183629691,-1.9386127598,4283,74,29,4.68,0.05,0.02,-0.06,0.13,0.08,2.44,0.55,0.53
J18221+063,Ross 136,275.52249410602,6.34426682021,3583,30,38,4.76,0.03,0.09,-0.11,0.15,0.07,1.52,0.04,0.34
J18224+620,GJ 1227,275.60383795841,62.04499387477,3187,24,30,5.0,0.07,0.07,0.06,0.18,0.13,2.38,0.22,0.37
J18319+406,G 205-028,277.99268627291,40.68822682125,3427,25,26,4.85,0.06,0.03,-0.04,0.11,0.04,2.59,0.17,0.26
J18346+401,LP 229-017,278.65305180918,40.12307795292,3430,23,35,4.78,0.04,0.05,0.08,0.07,0.04,2.03,0.2,0.33
J18353+457,BD+45 2743,278.82950726264,45.7456542121,4063,55,54,4.67,0.04,0.02,-0.02,0.07,0.11,2.17,0.48,0.49
J18363+136,Ross 149,279.08095248216,13.60856519951,3261,14,31,4.93,0.03,0.08,-0.03,0.23,0.06,4.45,0.35,0.23
J18409-133,BD-13 5069,280.23835156458,-13.38259300495,3804,25,57,4.69,0.04,0.01,0.06,0.03,0.06,2.85,0.15,0.45
J18419+318,Ross 145,280.49441133941,31.83052644423,3523,42,21,4.79,0.02,0.08,-0.12,0.12,0.04,2.3,0.18,0.26
J18427+596N,HD 173739,280.68307083523,59.63835790775,3640,32,32,4.75,0.02,0.07,-0.25,0.13,0.08,1.55,0.06,0.48
J18427+596S,HD 173740,280.68308624583,59.63514545482,3538,43,20,4.8,0.02,0.08,-0.2,0.13,0.06,2.08,0.2,0.27
J18480-145,G 155-042,282.00420159431,-14.58194288915,3528,44,14,4.79,0.02,0.08,-0.15,0.1,0.06,2.53,0.18,0.22
J18482+076,G 141-036,282.07475874496,7.69032389481,3061,23,23,5.05,0.08,0.04,0.13,0.18,0.07,4.94,0.46,0.17
J18498-238,V1216 Sgr,282.45878901752,-23.83709744873,3192,21,17,4.97,0.02,0.06,-0.24,0.37,0.12,6.72,0.32,0.37
J18580+059,BD+05 3993,284.4996904022,5.90269748286,4009,59,42,4.67,0.04,0.03,0.06,0.1,0.05,2.56,0.37,0.39
J19070+208,Ross 730,286.7709107523,20.88648751788,3639,44,19,4.8,0.03,0.07,-0.34,0.18,0.05,1.54,0.05,0.47
J19072+208,HD 349726,286.80272964028,20.87553840148,3643,47,17,4.8,0.03,0.06,-0.32,0.17,0.05,1.9,0.39,0.22
J19084+322,G 207-019,287.12364061757,32.28000653138,3450,30,22,4.82,0.03,0.06,-0.14,0.09,0.07,2.52,0.24,0.23
J19098+176,GJ 1232,287.45898037907,17.66656000356,3211,16,39,4.98,0.07,0.04,0.03,0.13,0.1,2.17,0.37,0.17
J19169+051N,V1428 Aql,289.22765150362,5.16297630267,3651,42,9,4.72,0.02,0.05,-0.01,0.08,0.05,2.4,0.19,0.28
J19216+208,GJ 1235,290.40673458165,20.86110512807,3211,10,30,4.97,0.06,0.03,-0.01,0.11,0.09,2.57,0.26,0.21
J19251+283,Ross 164,291.28639756565,28.35551122465,3417,23,34,4.86,0.07,0.02,0.01,0.12,0.04,2.4,0.18,0.29
J19346+045,BD+04 4157,293.6683376962,4.58389635555,4212,79,35,4.68,0.04,0.02,-0.26,0.04,0.17,2.53,0.84,0.29
J19511+464,G 208-042,297.79001858505,46.48457360659,3173,16,21,4.88,0.03,0.04,0.0,0.05,0.1,25.94,0.52,0.62
J20260+585,Wolf 1069,306.52431726019,58.57537971546,3173,34,16,5.02,0.09,0.04,0.06,0.12,0.11,2.07,0.33,0.37
J20305+654,GJ 793,307.63826397516,65.4508181344,3439,7,50,4.85,0.07,0.02,-0.17,0.04,0.09,3.29,0.22,0.2
J20336+617,GJ 1254,308.42304973521,61.75782450249,3418,28,41,4.85,0.07,0.02,0.08,0.09,0.06,2.15,0.17,0.31
J20405+154,GJ 1256,310.14718809392,15.5025901982,3198,27,16,4.96,0.03,0.08,0.03,0.12,0.08,2.77,0.2,0.31
J20450+444,BD+44 3567,311.26978468219,44.5002726684,3650,44,12,4.74,0.02,0.07,-0.21,0.05,0.09,2.62,0.27,0.18
J20525-169,LP 816-060,313.13613275965,-16.97455846821,3253,14,38,4.95,0.06,0.03,-0.02,0.12,0.08,2.69,0.24,0.17
J20533+621,HD 199305,313.3324563031,62.1509577015,3849,29,66,4.68,0.03,0.02,0.04,0.04,0.07,2.84,0.25,0.42
J20556-140S,GJ 810 B,313.91115663902,-14.06734311348,3247,11,51,4.97,0.06,0.05,-0.01,0.17,0.1,2.49,0.36,0.18
J20567-104,Wolf 896,314.19398627475,-10.45353848149,3603,38,14,4.74,0.03,0.06,0.02,0.08,0.04,2.53,0.14,0.27
J21019-063,Wolf 906,315.49330858499,-6.3207082126,3609,41,11,4.74,0.02,0.06,-0.01,0.08,0.05,2.62,0.13,0.26
J21152+257,LP 397-041,318.80314939305,25.79478549462,3707,19,50,4.68,0.02,0.03,0.2,0.04,0.05,2.73,0.12,0.49
J21164+025,LSPM J2116+0234,319.11478572844,2.58076550352,3535,40,16,4.76,0.03,0.06,-0.01,0.1,0.04,2.43,0.13,0.25
J21221+229,GSC 02187-00512,320.52669933337,22.93195139794,3845,54,32,4.7,0.05,0.02,-0.16,0.06,0.11,3.05,0.28,0.33
J21348+515,Wolf 926,323.71302482043,51.53850250356,3684,48,15,4.72,0.03,0.05,-0.07,0.1,0.08,2.0,0.36,0.29
J21463+382,LSPM J2146+3813,326.59288194186,38.21751708114,3467,34,36,4.84,0.02,0.08,-0.08,0.15,0.06,2.14,0.17,0.3
J21466+668,G 264-012,326.67209809426,66.80387671285,3355,27,28,4.89,0.07,0.02,0.06,0.15,0.02,2.04,0.34,0.32
J21466-001,Wolf 940,326.67184811882,-0.17551733751,3345,25,27,4.89,0.06,0.02,0.04,0.17,0.02,1.99,0.46,0.27
J22012+283,V374 Peg,330.30656607858,28.3071089204,3142,53,112,5.0,0.11,0.11,-0.03,0.26,0.18,38.39,5.21,1.62
J22020-194,LP 819-017,330.50768974078,-19.48278216213,3418,23,33,4.81,0.02,0.07,-0.02,0.13,0.04,2.16,0.18,0.29
J22021+014,BD+00 4810,330.54080176554,1.39899237701,3984,55,44,4.67,0.03,0.03,0.03,0.07,0.07,2.78,0.28,0.46
J22057+656,G 264-018 A,331.43562055378,65.64969504231,3764,35,33,4.71,0.04,0.03,-0.11,0.06,0.09,2.77,0.16,0.35
J22096-046,BD-05 5715,332.42315156605,-4.64083481516,3536,36,21,4.75,0.03,0.06,0.05,0.07,0.03,2.39,0.15,0.27
J22115+184,Ross 271,332.87693362038,18.42699856556,3729,48,15,4.69,0.02,0.03,0.1,0.04,0.05,2.96,0.09,0.45
J22125+085,Wolf 1014,333.1502482523,8.55024242894,3529,42,20,4.78,0.03,0.08,-0.12,0.13,0.05,2.19,0.2,0.25
J22137-176,LP 819-052,333.43259243982,-17.68710496885,3254,12,46,4.93,0.03,0.06,-0.01,0.12,0.1,2.7,0.24,0.17
J22252+594,G 232-070,336.32217871078,59.41245983212,3415,24,37,4.85,0.07,0.02,0.07,0.09,0.03,2.41,0.14,0.26
J22298+414,G 215-050,337.46118352864,41.48216136441,3361,24,32,4.9,0.06,0.02,0.07,0.19,0.02,1.94,0.41,0.34
J22330+093,BD+08 4887,338.26170115163,9.37860496034,3804,45,30,4.71,0.05,0.02,-0.16,0.05,0.1,2.81,0.27,0.26
J22503-070,BD-07 5871,342.58045730563,-7.08964409656,3969,58,40,4.68,0.04,0.02,0.01,0.09,0.07,2.74,0.25,0.45
J22518+317,GT Peg,342.9758008164,31.75400550315,3371,14,60,4.8,0.03,0.05,0.13,0.11,0.03,16.56,0.25,0.56
J22532-142,IL Aqr,343.32411100184,-14.26668939352,3353,26,28,4.88,0.06,0.01,0.06,0.13,0.01,2.18,0.2,0.26
J22559+178,StKM 1-2065,343.99947178423,17.81056564096,3853,31,64,4.68,0.03,0.02,0.05,0.02,0.08,2.96,0.17,0.48
J22565+165,HD 216899,344.14022173121,16.55216937228,3813,27,60,4.68,0.03,0.02,0.08,0.03,0.07,2.88,0.11,0.51
J23113+085,NLTT 56083,,,3409,22,33,4.84,0.05,0.04,0.0,0.12,0.03,2.39,0.19,0.29
J23216+172,LP 462-027,350.40353663497,17.28424239876,3407,24,42,4.85,0.07,0.02,0.07,0.08,0.06,2.25,0.14,0.3
J23245+578,BD+57 2735,351.1266282815,57.85305705753,3838,29,59,4.68,0.03,0.02,0.1,0.04,0.07,2.91,0.11,0.49
J23340+001,GJ 899,353.50947982974,0.17524273262,3730,31,38,4.73,0.04,0.05,-0.22,0.07,0.1,1.6,0.1,0.45
J23381-162,G 273-093,354.53268726382,-16.23651363027,3603,43,17,4.77,0.03,0.07,-0.27,0.09,0.1,2.28,0.25,0.17
J23419+441,HH And,355.48001525816,44.17037570075,3131,34,14,5.05,0.09,0.07,0.09,0.11,0.12,2.4,0.64,0.23
J23431+365,GJ 1289,355.78150915638,36.53631037729,3205,19,22,4.96,0.04,0.07,-0.05,0.13,0.12,3.89,0.43,0.15
J23492+024,BR Psc,357.30660382313,2.3969179442,3912,61,21,4.75,0.07,0.04,-0.43,0.12,0.11,1.5,0.08,0.31
J23505-095,LP 763-012,357.63470522772,-9.56096439189,3310,27,31,4.89,0.06,0.02,0.09,0.14,0.02,2.36,0.25,0.25
J23556-061,GJ 912,358.91361665432,-6.14428302714,3662,18,49,4.69,0.01,0.05,0.11,0.03,0.06,2.98,0.11,0.44
J23585+076,Wolf 1051,359.63641970584,7.65694708118,3507,23,40,4.87,0.06,0.03,-0.1,0.06,0.1,3.33,0.2,0.2
